"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:BTPBH","Paro",,"unlcdf:4",,"unlcdc:BT",,,"BTPBH"
"unlcd:BTPHU","Phuntsholing",,"unlcdf:5",,"unlcdc:BT",,,"BTPHU"
"unlcd:BTTHI","Thimpbu",,"unlcdf:3","unlcds:BT15","unlcdc:BT","27.466667","89.63333","BTTHI"
